loan_amount,annual_income,employment_length_years,credit_history_years,debt_to_income,revolving_utilization,num_delinquencies,num_credit_lines,inquiries_last_6m,fico_score,open_credit_cards,public_records,loan_purpose,home_ownership,state,age,months_since_last_delinquency,annual_installment,loan_term_months,num_dependents,utilization_ratio,bankruptcies,mortgage_accounts,verification_status,default
16795,32363,36,23,0.5775464780644465,0.2190476670534085,1,6,8,385,4,3,business,OWN,TX,57,113,7580,60,1,0.36587799036494995,2,4,verified,1
1860,95938,19,1,0.5773231594876015,0.29582744806720673,0,10,9,844,4,1,medical,OWN,OH,57,115,5287,36,3,0.36968093821126136,1,2,not_verified,1
39158,137159,1,10,0.22976612555256892,0.10227486476234648,1,20,0,342,9,2,home,RENT,TX,22,91,2337,36,0,0.07549521269525383,2,2,not_verified,0
45732,157534,34,26,0.12999574127613753,0.4837426508153645,0,1,0,584,10,4,home,OWN,NY,20,73,7457,60,3,0.3768139712177485,1,3,not_verified,0
12284,88109,14,13,0.48480300440010826,0.7557616929673677,0,13,0,479,10,1,education,OWN,IL,22,9,7956,60,3,0.24405760883928773,0,2,not_verified,0
7265,197177,13,2,0.10077703751382776,0.3184031399524295,2,10,5,601,13,3,education,MORTGAGE,IL,30,96,4230,36,2,0.16116128961668386,2,1,verified,1
17850,69698,35,27,0.512900801480792,0.630688384167708,1,16,0,690,9,4,medical,OWN,OH,49,81,3349,36,0,0.11684099279966143,0,3,not_verified,0
38194,173175,29,29,0.2688221385952451,0.2937189632221737,0,12,1,574,5,2,home,MORTGAGE,OH,46,36,10969,36,3,0.8025262231529131,2,3,not_verified,0
22962,134511,26,29,0.07233794125390838,0.1237677387878785,0,8,9,363,13,0,home,RENT,IL,63,5,14401,36,3,0.9929767537159971,1,1,not_verified,0
48191,162579,1,18,0.5844017520920151,0.7211908499127292,0,14,1,348,11,3,car,OWN,GA,49,32,632,60,1,0.7520413488693055,2,1,verified,1
45131,111783,20,24,0.038607101091356434,0.6424535115830586,1,22,2,727,13,1,car,MORTGAGE,MI,30,28,11516,36,2,0.9443326820674817,0,2,verified,0
17023,113829,13,3,0.2329395908656369,0.9867334926253215,1,22,1,458,2,1,wedding,RENT,IL,61,18,2345,36,3,0.9445376395922596,2,4,not_verified,1
42090,131774,26,5,0.3712676544130489,0.7745331773834172,0,23,5,561,11,1,wedding,MORTGAGE,NC,20,73,3254,60,0,0.1432822483365288,0,1,not_verified,0
2685,194398,20,4,0.12681855557501534,0.6062571170279895,1,7,6,487,12,1,business,RENT,CA,31,50,7821,36,0,0.8425048460017002,1,3,verified,1
1769,156419,22,5,0.38206045114923576,0.25623303456965874,1,7,1,499,9,1,home,MORTGAGE,MI,52,102,3920,36,1,0.6527428590338457,2,1,not_verified,0
3433,21099,34,7,0.31298352925355327,0.8088234363520691,0,4,5,748,3,0,medical,RENT,MI,35,101,1303,36,1,0.5988787375087459,0,2,not_verified,0
6311,90104,7,15,0.3376739596158198,0.7191734732826858,1,8,7,802,3,1,business,MORTGAGE,MI,48,76,3993,36,3,0.2168724083501018,2,2,verified,0
38819,19406,11,14,0.21602393540552173,0.5712656245900559,0,1,7,486,4,1,wedding,RENT,FL,66,33,2601,36,4,0.9691116265183811,2,4,verified,0
40188,174109,27,9,0.5482482623534157,0.8284443033064515,0,12,7,367,10,3,education,MORTGAGE,NC,55,115,8205,60,3,0.50046021082823,1,0,verified,0
18568,117439,32,14,0.48005866509099493,0.2641409757735911,0,11,0,771,0,3,education,MORTGAGE,FL,21,97,5842,60,1,0.6852113219121354,0,2,not_verified,1
20769,150948,32,18,0.25173910148938633,0.7571532435902717,1,11,7,578,11,2,home,OWN,GA,23,118,13920,60,4,0.4131525153023152,2,0,not_verified,1
29693,105692,8,8,0.41523315372042113,0.500099288791238,1,20,2,584,4,3,car,RENT,NC,67,60,5709,36,3,0.8993399117201614,1,0,verified,0
7396,176943,14,12,0.18122104736641106,0.04589972551908028,0,4,5,715,10,0,medical,RENT,TX,18,14,13831,60,4,0.43688629018886405,1,1,verified,0
28480,111442,9,10,0.5410606454388268,0.3245507253415777,1,22,8,389,12,0,education,MORTGAGE,GA,55,106,3403,60,1,0.5871183998963602,0,2,verified,1
42434,117829,1,22,0.3278901556848438,0.9588919167784499,0,14,5,569,9,2,medical,RENT,GA,26,58,10767,60,0,0.048194466388095214,0,1,not_verified,0
26658,127631,2,24,0.3355457788721966,0.39408507955854,1,8,2,703,5,1,education,RENT,NC,56,28,3420,60,0,0.012858202842849997,1,3,verified,0
19942,59895,22,24,0.016737365213624948,0.45221121481608684,0,3,1,802,5,3,home,OWN,FL,52,70,2787,60,3,0.47417054338802056,1,0,verified,0
19431,58760,9,9,0.3879487578021697,0.9934514417993134,1,17,6,742,0,3,home,MORTGAGE,GA,32,113,5529,60,1,0.6342969107036849,1,2,not_verified,0
3747,61306,18,22,0.02633699115764266,0.6218098703845547,0,20,8,422,2,2,home,RENT,MI,68,72,12036,36,1,0.5213455758903612,0,2,verified,0
1189,90179,17,23,0.4147352270111965,0.8760338440239537,1,5,2,429,11,2,car,MORTGAGE,IL,40,62,911,60,3,0.484880041556048,0,4,not_verified,1
20118,162659,34,2,0.27948120419843964,0.7035293371494928,0,17,1,512,4,4,car,RENT,GA,21,48,9125,36,3,0.4806874394273818,2,1,verified,0
36773,91554,8,16,0.31497085555946164,0.18808400815037907,1,23,4,685,5,0,medical,OWN,IL,62,98,6408,60,1,0.6182555241312782,1,0,not_verified,0
2899,150285,30,12,0.5650689635280196,0.7088170794913649,1,10,7,569,3,4,home,RENT,CA,58,101,8953,36,1,0.02454860794615632,2,3,not_verified,0
2267,156116,29,17,0.5530607247825146,0.24506772836745105,1,1,0,818,0,1,education,MORTGAGE,PA,32,35,11302,36,0,0.566493640356827,0,3,not_verified,0
32551,146015,36,4,0.0421809684375932,0.40586808926195483,1,12,1,547,11,4,wedding,OWN,NY,57,93,13603,60,1,0.26969848964077414,2,0,verified,0
12394,59425,11,17,0.570073134060063,0.27182653790129885,1,3,2,345,2,0,education,RENT,GA,37,55,1756,36,3,0.9642631053197659,2,1,not_verified,0
4556,167448,16,25,0.06332933144467512,0.562098471263711,0,11,7,782,0,1,education,MORTGAGE,IL,22,4,8158,36,2,0.9489641721039691,1,1,verified,0
4890,37590,26,29,0.18936824948617326,0.12631715662736154,1,18,2,519,0,3,education,OWN,CA,57,6,9143,36,1,0.03578716397776416,0,1,verified,0
42606,58403,20,4,0.3459114032705406,0.39774359101337464,0,19,8,704,10,1,car,RENT,TX,21,35,8795,36,2,0.07008530334586227,2,3,not_verified,0
31740,41628,26,1,0.4244330574780484,0.07101392189618527,0,8,7,687,0,0,wedding,RENT,TX,23,97,733,36,1,0.6095086312412453,2,3,verified,1
